food_name,diet_type
Alaskan salmon,Omnivorous
Almonds,Vegan
Amaranth,Vegan
Anchovies,Omnivorous
Asparagus,Vegan
Avocado,Vegan
Barley,Vegan
Black beans (boiled),Vegan
Broccoli,Vegan
Camembert,Vegetarian
Cashew nuts,Vegan
Cheddar,Vegetarian
Chia seeds,Vegan
Chicken Breast,Omnivorous
Chickpeas (boiled),Vegan
Clam,Omnivorous
Cod,Omnivorous
Cottage cheese,Vegetarian
Cow Milk,Vegetarian
Crab,Omnivorous
Cuttlefish,Omnivorous
Duck breast,Omnivorous
Edam,Vegetarian
Edamame,Vegan
Eggs,Vegetarian
Feta,Vegetarian
Firm Tofu,Vegan
Goat Milk,Vegetarian
Greek yogurt,Vegetarian
Halibut,Omnivorous
Lamb,Omnivorous
Lean Beef,Omnivorous
Lean Pork Chops,Omnivorous
Lentils (boiled),Vegan
Lobster,Omnivorous
Mackerel,Omnivorous
Mozzarella,Vegetarian
Mussel,Omnivorous
Oats,Vegan
Octopus,Omnivorous
Parmesan,Vegetarian
Peanut butter,Vegan
Peanuts,Vegan
Pistachios,Vegan
Pumpkin & squash kernels (roasted),Vegan
Quinoa (cooked),Vegan
Ricotta,Vegetarian
Sardines,Omnivorous
Seitan,Vegan
Shrimp,Omnivorous
Soy Milk,Vegan
Spirulina (dried),Vegan
Squid,Omnivorous
Swiss cheese,Vegetarian
Tempeh (cooked),Vegan
Tilapia,Omnivorous
Tuna (Yellowfin),Omnivorous
Turkey breast,Omnivorous
Walnuts,Vegan
Wheat Germ,Vegan
